Dimension,Segmento,Registros,Segmento_interpretable,Minimo_registros_requerido,Precio_real_medio,Precio_real_mediano,Precio_predicho_medio,Error_absoluto_porcentual_P90,MAE_LOG,RMSE_LOG,R2_LOG,MAE_EUR,RMSE_EUR,MEDAE_EUR,MEDAPE_PERCENT,BIAS_EUR
CIUDAD,Barcelona,9171,True,30,403058.55413804384,324000.0,395667.38,26.393834005376345,0.12661626140442728,0.17013931870673793,0.9134361236812073,50573.00135018812,84299.22143180703,30524.2242038479,9.754388071174844,-7391.1570453162185
CIUDAD,Madrid,14363,True,30,398299.31072895636,260000.0,391490.4,27.55683019301474,0.13214510848576946,0.18312609878830302,0.9423097236918597,51928.1953055512,114827.30554935012,26221.052239021927,10.026379307700426,-6808.904637405855
CIUDAD,Valencia,5022,True,30,200530.26682596575,151500.0,197635.11,33.441444215238775,0.1575826770321209,0.21053554808428346,0.8989023145388808,31703.66885895109,60572.15176606424,17580.575763755478,12.060813349677934,-2895.1575286664834
