Dimension,Segmento,Segmento_interpretable,Minimo_registros_requerido,Cobertura_objetivo,Registros,Cobertura,Tasa_real_debajo_intervalo,Tasa_real_encima_intervalo,Anchura_media_euros,Anchura_mediana_euros,Anchura_P90_euros,Anchura_relativa_media_percent,Anchura_relativa_mediana_percent,Anchura_relativa_P90_percent
CIUDAD,Barcelona,True,100,0.9,9171,0.9005561007523716,0.0514665794351761,0.0479773198124523,217081.82843555204,178833.4598601867,374563.88822900935,54.86477345769668,54.864754383820454,54.86489790478405
CIUDAD,Madrid,True,100,0.9,14363,0.9038501705771774,0.0501288031748242,0.04602102624799833,222507.7626833689,147195.92972770834,452593.40154515725,56.836174792231205,56.836144897380635,56.83639088179767
CIUDAD,Valencia,True,100,0.9,5022,0.8976503385105535,0.05157307845479889,0.05077658303464755,132641.35599220564,101423.5742659969,241288.30426487082,67.11443742991555,67.11437256154389,67.11485527705652
